Customer Code,Customer name,Customer Channel type, Customer coordinates X , Customer coordinates y ,Number of Doors,Route,Rep name,Supervisor name,Service Channel,Depot,USM name,Region,RSM,Discount
Cs 456,36- س م المهندس-منافذبولاق,SM,30.0434,31.1854,3,36-Presales منافذبولاق,Rep 83,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,1.25%
Cs 457,36-K-اسواق الزهور-منافذ بولاق,Kiosks,30.058,31.1878,1,36-Presales منافذبولاق,Rep 83,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 458,36-k-البان الاصدقاء-ارض اللواء,LG,30.0577,31.1819,2,36-Presales منافذبولاق,Rep 83,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,1.00%
Cs 459,36-K-اللواء ماركت-منافذ بولاق,SG,30.0541,31.1896,1,36-Presales منافذبولاق,Rep 83,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 460,36-K-س م ابوادهم-ارض اللواء,Kiosks,30.0473,31.1907,2,36-Presales منافذبولاق,Rep 83,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,1.00%
Cs 461,36-K-س م الزهيرى1-عبدربة-ارض اللواء2,LG,30.0514,31.1873,1,36-Presales منافذبولاق,Rep 83,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 462,36-k-س م المغربى -منافذبولاق,SG,30.0435,31.1788,1,36-Presales منافذبولاق,Rep 83,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 463,36-K-س م اولادخليفة -منافذ بولاق,Kiosks,30.0581,31.1838,1,36-Presales منافذبولاق,Rep 83,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 464,36-k-س م بركة عبادالرحمن-منافذ بولاق,SM,30.0518,31.1831,1,36-Presales منافذبولاق,Rep 83,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 465,36-k-س م تبارك-محمدربيع-منافذارض اللواء,LG,30.0566,31.188,1,36-Presales منافذبولاق,Rep 83,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 466,36-K-س م زوما-منافذبولاق,SG,30.0289,31.1953,2,36-Presales منافذبولاق,Rep 83,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,1.00%
Cs 467,36-k-س م لمار-منافذارض اللواء,Kiosks,30.0561,31.1881,1,36-Presales منافذبولاق,Rep 83,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 468,36-K-س.م سما -منافذارض اللواء,SM,30.0536,31.1858,2,36-Presales منافذبولاق,Rep 83,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,1.00%
Cs 469,36-التقوي,Kiosks,30.072,31.2073,1,36-Presales منافذبولاق,Rep 83,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 470,36-K- اسواق فتح-ش عبدالمنعم رياض,LG,30.1036,31.2197,2,إمبابة اسواق,Rep 84,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,1.00%
Cs 471,36-K-اسواق الحرم-ش المطار-منافذامبابة,SG,30.073,31.2011,2,إمبابة اسواق,Rep 84,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,1.00%
Cs 472,36-k-اسواق بلال-منافذامبابة,Kiosks,30.0795,31.2225,3,إمبابة اسواق,Rep 84,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,1.25%
Cs 473,36-K-س م الخولى-منافذامبابة,LG,30.0942,31.2055,3,إمبابة اسواق,Rep 84,Sup 15,Presell,36-Bashteel,USM 8,Giza,RSM 2,1.25%
Cs 474,36-البان الرحمن,SG,30.0954,31.202,1,إمبابة اسواق,Rep 84,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 475,36-البيت,Kiosks,30.0801,31.1948,2,إمبابة اسواق,Rep 84,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,1.00%
Cs 476,36-العلا ماركت,SM,30.0802,31.2217,1,إمبابة اسواق,Rep 84,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 477,36-اولاد عبد الفتاح,Kiosks,30.0795,31.2159,1,إمبابة اسواق,Rep 84,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 478,36-س.م اولاد رجب,SM,30.0953,31.2023,1,إمبابة اسواق,Rep 84,Sup 15,Conv,36-Bashteel,USM 8,Giza,RSM 2,0.75%
Cs 479,45-اولاد ماضى,Kiosks,30.0676,31.2505,1,45-PRE_GPX احمد حلمى,Rep 85,Sup 16,Conv,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 480,45-اسواق الشرقية غمرة,LG,30.0881,31.2844,2,45-PRE_GPX الزاوية1,Rep 86,Sup 16,Presell,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 481,45-تامر محمد بهيج,SG,30.0991,31.2729,3,45-PRE_GPX الزاوية1,Rep 86,Sup 16,Presell,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 482,45-رمضان,Kiosks,30.0729,31.268,3,45-PRE_GPX الزاوية1,Rep 86,Sup 16,Presell,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 483,45-الامين للتجارة والتوزيع,LG,30.0999,31.2996,1,45-PRE_GPX مساكن السعوديه,Rep 87,Sup 16,Presell,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 484,45-البداية ماركت,SG,30.1011,31.2957,2,45-PRE_GPX مساكن السعوديه,Rep 87,Sup 16,Presell,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 485,45-العسكري,Kiosks,30.0915,31.2895,2,45-PRE_GPX مساكن السعوديه,Rep 87,Sup 16,Presell,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 486,45-سنابل,SG,30.0909,31.2897,3,45-PRE_GPX مساكن السعوديه,Rep 87,Sup 16,Presell,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 487,45-عباد الرحمن,Kiosks,30.1016,31.2992,3,45-PRE_GPX مساكن السعوديه,Rep 87,Sup 16,Conv,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 488,45-ابو صالح1,LG,30.0838,31.2823,1,45-PRE_GPX مصر و السودان,Rep 88,Sup 16,Conv,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 489,45-على بابا,SG,30.0867,31.2871,2,45-PRE_GPX مصر و السودان,Rep 88,Sup 16,Conv,45-Shobra,USM 9,Giza,RSM 2,1.00%
Cs 490,45-سوبر ماركت الراعى,Kiosks,30.1061,31.2905,1,45-PRE_GPXالأميرية 1,Rep 89,Sup 16,Conv,45-Shobra,USM 9,Giza,RSM 2,0.75%
Cs 491,45-الونش,SM,30.0793,31.2541,2,45-PRE_GPXالترعه البولاقيه,Rep 90,Sup 17,Conv,45-Shobra,USM 9,Giza,RSM 2,1.00%
